secondsLeft,scoreDifference,yardsToEndzone,yOffsetAtSnap,motionSinceLineset,shiftSinceLineset,offenseFormation,receiverAlignment
166,-9,41,0.1036363636363624,0,0,4,4
1385,-11,54,0.43454545454545207,0,0,5,6
1060,14,25,0.5290909090909072,1,1,4,6
1242,21,75,0.0190909090909124,0,0,4,6
809,4,76,0.13727272727272644,0,0,4,6
2785,7,32,0.2254545454545471,0,0,4,3
3207,0,83,0.0718181818181785,1,0,4,3
3345,-7,75,0.059999999999997104,0,1,1,3
3095,0,65,0.10272727272727232,0,1,5,4
354,21,27,0.8090909090909096,1,0,0,7
496,18,23,0.22181818181818097,1,0,5,6
1763,4,61,0.20545454545454464,0,0,5,4
1501,-14,25,0.10545454545455289,0,1,1,3
2395,-1,61,0.1554545454545436,0,0,5,6
2609,-3,77,0.4781818181818174,1,1,4,4
3054,-7,23,0.7463636363636365,1,0,2,3
862,-18,85,0.3336363636363636,0,0,4,6
2318,-4,74,0.25545454545454566,1,1,4,6
256,-4,11,0.11636363636364422,0,1,5,6
569,4,19,0.13909090909090904,0,1,4,4
2962,4,34,0.46454545454546614,1,0,3,6
2143,-3,61,0.44999999999999896,1,0,1,3
2449,0,78,0.49090909090908946,1,1,5,3
1948,0,75,0.15727272727272634,0,1,4,4
1410,17,59,0.2863636363636395,1,1,4,4
3577,0,50,0.03909090909090971,1,0,1,3
185,0,88,0.146363636363636,0,1,5,6
3445,0,55,0.6427272727272721,1,0,5,4
837,-17,68,0.143636363636357,1,0,4,6
3263,0,37,0.44363636363635806,1,1,4,6
2746,-4,59,0.1036363636363624,0,1,5,6
2225,7,62,0.42000000000000043,1,0,4,6
2957,14,75,0.032727272727272674,0,1,5,6
275,16,37,0.09090909090909091,1,0,4,6
1867,7,24,0.15181818181818843,1,0,5,4
1950,3,80,0.30636363636362646,1,0,5,4
2411,14,75,0.1836363636363723,0,0,4,3
1800,0,75,0.022727272727271434,1,1,4,6
2661,0,49,0.8099999999999971,0,0,5,4
1411,0,55,0.08636363636363532,0,1,5,6
1761,-10,55,0.1518181818181781,1,1,5,4
348,-18,60,0.6681818181818151,0,1,5,6
1992,-4,39,0.31545454545454793,0,1,4,4
1144,-3,90,0.551818181818176,1,0,5,4
2696,0,80,0.25363636363636355,0,1,5,3
1481,-5,61,0.09909090909091199,1,1,5,6
1644,3,27,0.18454545454545207,0,0,4,4
1027,-1,52,0.1154545454545438,0,1,5,4
746,18,75,0.4636363636363657,0,0,4,4
2586,3,40,0.48818181818182377,1,0,5,6
3442,-7,63,0.07818181818182976,1,1,1,3
3427,0,44,0.0709090909090936,0,1,5,6
790,11,63,0.14272727272726693,1,1,3,3
2387,-4,63,0.15727272727272892,0,1,5,6
1984,-17,74,0.48909090909090996,1,0,4,6
1394,-3,35,0.04181818181817479,1,0,5,6
1306,-10,93,0.052727272727271284,0,0,5,4
2454,3,60,0.3054545454545467,0,1,1,3
304,21,69,0.5109090909090913,0,0,4,6
1823,-7,10,0.06909090909091085,0,0,4,6
198,5,18,0.24909090909088924,1,0,4,6
2197,-10,21,0.27454545454545515,1,0,4,4
252,-18,41,0.2472727272727246,0,0,4,4
3600,0,75,0.13272727272727344,1,1,4,3
1336,-17,75,0.06454545454544752,1,0,4,4
3394,7,64,0.5354545454545442,0,0,0,7
3324,0,16,0.11727272727272396,1,0,4,4
785,-6,51,0.14272727272726693,1,0,4,6
1066,-5,79,0.11090909090908306,0,0,3,6
2255,-3,75,0.33727272727274094,0,1,3,6
774,-2,42,0.37545454545454504,1,1,1,3
2869,4,20,0.39181818181817685,0,0,5,4
1387,-6,73,0.6281818181818153,1,0,4,4
120,3,58,0.4054545454545488,0,0,4,6
2632,14,23,0.2899999999999985,1,1,4,6
441,5,75,0.4236363636363633,1,1,5,4
1472,0,86,0.04727272727272562,0,0,3,4
732,-16,49,0.12090909090907913,0,0,4,4
1823,4,60,0.4363636363636374,0,0,4,4
2632,-6,14,0.44090909090908265,1,0,4,4
341,0,27,0.3899999999999967,0,0,1,3
307,0,40,0.239090909090919,0,0,4,4
1869,-28,23,0.06454545454545785,0,0,4,4
1918,3,75,0.162727272727272,1,0,4,4
120,-7,15,0.11818181818180372,1,0,4,4
2102,11,20,0.3536363636363624,0,0,4,4
551,-14,59,0.06272727272726736,1,0,5,4
3205,0,36,1.2481818181817992,1,0,5,4
2191,-7,44,0.3699999999999994,1,1,4,6
3439,-7,79,0.36636363636362357,1,1,5,6
1538,-5,87,0.16454545454547026,0,1,5,6
1883,4,69,0.5827272727272724,1,1,4,6
1359,10,41,0.014545454545451652,1,1,4,4
513,-2,50,0.502727272727265,0,0,5,4
1915,-21,38,0.9790909090909075,1,1,4,6
1596,-7,38,0.2563636363636306,0,0,5,6
2988,0,33,0.008181818181821076,0,1,4,6
2668,-7,64,0.1700000000000004,0,0,5,6
3181,-3,53,0.3145454545454527,1,1,5,6
1575,-17,65,0.495454545454547,1,0,5,4
3312,-3,63,0.9218181818181832,1,0,4,4
1388,9,57,0.2927272727272649,1,1,5,4
148,5,52,0.091818181818181,0,0,4,4
1232,7,19,0.4163636363636362,1,1,4,6
745,-6,67,0.10090909090909474,1,1,5,6
1800,7,75,0.23545454545454578,1,0,1,3
2264,4,66,0.06818181818181301,1,1,1,3
2060,0,63,0.08454545454545516,1,0,5,4
713,-14,22,0.24272727272727934,0,0,4,6
361,-9,78,0.43000000000000166,0,0,4,4
2077,-11,84,0.23818181818182893,0,0,5,6
846,-19,16,0.16181818181818192,0,0,1,3
167,16,81,0.7263636363636384,1,0,4,6
958,-2,66,0.01818181818181198,0,1,5,4
3127,0,30,0.45454545454545714,0,0,2,6
1668,-6,72,0.700909090909089,0,0,4,6
3594,0,90,0.91636363636364,1,0,4,4
2339,3,55,0.174545454545456,0,0,4,3
2870,-3,62,0.23999999999998842,1,0,1,3
1255,3,27,0.12181818181819505,0,0,4,6
2546,0,42,0.11727272727272914,1,0,3,3
207,2,64,0.28545454545455456,1,0,5,6
2961,-3,75,1.1609090909090996,1,0,5,4
2376,3,70,0.820000000000001,1,1,4,3
2527,3,16,0.21181818181820622,0,1,3,3
2957,-3,34,0.08727272727272282,1,0,1,3
2907,-10,41,0.734545454545448,0,1,4,6
2660,-3,14,0.3472727272727271,0,1,3,3
553,-3,65,0.7809090909090834,0,0,5,4
1325,9,49,0.8199999999999932,1,1,4,4
2910,0,69,0.6836363636363672,1,1,0,7
3563,0,56,0.11181818181819381,1,0,5,6
3353,0,67,0.3036363636363614,1,1,5,4
2943,-3,75,1.1090909090909093,0,0,4,4
1185,-19,53,0.10818181818181281,1,1,4,6
1795,2,77,0.700909090909091,1,1,4,4
2707,7,94,0.24272727272727287,1,0,5,4
126,-2,44,0.2709090909090874,0,1,4,4
682,-4,41,0.6200000000000071,0,0,5,6
194,10,37,0.2581818181818159,0,0,5,4
1937,7,47,0.5836363636363651,1,1,5,4
3027,-7,71,0.17090909090910084,1,1,4,6
1861,-3,91,0.11454545454547439,1,0,4,6
2300,7,89,0.41818181818181765,0,0,4,3
1065,0,32,0.44272727272727314,1,1,5,4
1675,-18,40,0.006363636363630576,1,0,1,3
1823,-7,77,0.279090909090924,1,0,4,4
2700,7,21,0.10090909090909216,0,0,5,4
3186,-7,35,0.21272727272727562,0,0,5,4
1794,-17,74,0.03181818181819422,1,0,4,6
1120,-4,52,0.024545454545463228,1,1,5,6
591,-4,42,0.7654545454545469,0,1,5,4
2611,-4,53,0.3763636363636403,0,1,4,6
2786,4,38,0.19363636363636064,0,0,5,4
3127,9,65,0.15545454545455908,1,0,4,4
400,-19,45,0.6518181818181781,1,0,5,3
2944,0,13,0.0781818181818401,1,0,4,3
2911,0,76,0.33636363636363015,0,1,5,4
2260,21,75,1.0281818181818236,0,0,4,6
1551,14,65,0.3699999999999942,0,1,4,6
128,12,75,0.411818181818169,0,1,5,4
2342,8,84,0.4927272727272735,1,0,5,4
1441,3,75,0.30818181818182727,1,0,5,4
814,-10,62,0.4081818181818216,0,1,5,4
1059,-19,44,0.5545454545454462,0,0,4,4
673,6,75,0.03181818181818388,0,1,4,6
2276,-10,58,0.19727272727272355,1,0,5,6
1582,-6,78,0.40181818181818135,1,0,4,4
1220,-18,75,0.3481818181818219,1,1,5,6
2792,-7,27,0.8709090909090843,0,1,4,4
3487,0,60,0.4727272727272769,1,0,4,6
3004,4,75,0.4345454545454624,0,1,4,3
2172,7,24,0.4218181818181812,0,0,5,3
3392,0,80,0.045454545454545775,1,0,5,6
1800,-4,75,0.1072727272727279,0,0,5,6
263,-3,31,0.11818181818182438,1,0,5,6
2930,3,53,0.01818181818181198,1,0,4,4
1912,-10,37,0.4090909090909091,1,0,4,6
2166,3,23,0.016363636363635692,1,0,5,4
122,-7,12,0.05909090909090961,0,0,5,3
1795,6,80,0.35818181818180245,1,0,5,4
574,10,26,0.5036363636363603,0,0,5,4
2486,10,55,0.24363636363636426,1,1,4,4
1348,0,48,0.16272727272726942,1,0,5,4
1605,-4,75,0.1390909090909079,0,0,5,4
2240,-7,75,0.069999999999999,1,1,1,3
1340,4,37,0.2627272727272818,0,0,4,6
2020,0,31,0.9445454545454585,1,0,4,6
3561,0,64,0.0645454545454501,1,1,5,3
2083,4,56,0.36090909090908824,1,0,4,6
3427,0,27,0.06272727272727252,0,0,4,4
1551,0,69,0.2654545454545469,0,0,4,6
3424,0,69,0.24363636363636426,1,0,4,4
3176,7,75,0.16363636363636208,1,0,5,4
2028,-6,85,0.2763636363636369,1,0,4,6
2623,3,25,0.12727272727273553,1,0,4,6
850,5,75,0.5690909090909186,1,1,4,6
3101,0,75,0.47454545454546737,0,1,5,6
2280,-6,60,0.32454545454546424,0,1,5,3
2201,3,60,0.030909090909088634,1,1,1,3
1721,-3,65,0.26454545454545164,1,0,3,4
1830,4,75,0.5990909090909095,1,0,4,6
1115,8,45,0.6018181818181874,0,1,5,4
2666,-3,39,0.08818181818182583,0,1,5,6
2609,-3,68,0.2872727272727244,1,0,5,4
2595,1,75,0.49636363636363645,1,1,5,6
1819,-13,72,0.7700000000000012,0,0,4,6
831,-4,29,0.3400000000000008,0,0,4,3
1151,-13,76,0.9963636363636397,1,0,4,4
2289,0,35,0.2690909090909124,0,0,5,6
207,-7,26,0.006363636363640911,1,0,4,3
1570,-5,56,0.0999999999999969,0,0,3,4
163,3,43,0.04363636363637046,0,1,5,4
3203,7,75,0.11090909090909339,1,1,3,6
1341,7,75,0.6081818181818179,1,1,1,3
3488,0,78,0.07090909090909231,1,0,4,3
1196,0,62,0.4036363636363686,0,1,5,6
447,-35,54,0.18090909090909174,0,1,4,3
3097,7,88,0.4590909090909088,0,0,4,4
2983,-3,33,0.43999999999999256,1,0,4,6
1338,3,30,0.35181818181818225,0,0,1,3
1912,5,98,0.33090909090908965,0,0,4,6
2885,-4,75,0.20636363636363472,0,0,5,4
1917,7,60,0.1390909090909118,0,1,5,4
2692,-11,86,0.8199999999999984,0,1,4,6
488,-6,53,0.9563636363636348,0,1,5,6
1018,3,64,0.02363636363636281,0,1,3,3
688,11,50,0.3981818181818126,0,0,5,6
2162,-6,27,0.3272727272727293,1,0,3,4
3386,-7,33,1.3272727272727294,1,0,1,3
1171,1,86,0.1472727272727264,1,0,4,6
1582,11,75,0.44727272727273387,1,1,5,6
3351,0,27,0.47454545454544667,1,1,4,4
2687,0,72,0.25454545454546074,0,0,1,3
2364,-14,34,0.24818181818181725,1,1,4,6
1792,14,51,0.18999999999999773,1,0,3,3
1715,-3,75,0.21545454545454587,0,1,5,4
2700,14,35,0.7854545454545416,1,0,4,6
2603,-4,12,0.044545454545445035,0,0,4,6
2203,-5,42,0.5981818181818167,0,0,5,6
2603,13,75,0.848181818181818,1,1,4,4
3339,0,80,0.5472727272727256,0,0,3,3
2941,11,75,0.12090909090909205,1,0,5,4
1370,-7,88,0.5345454545454541,1,1,1,3
3229,0,48,0.233636363636363,1,1,3,3
3559,0,67,0.1972727272727339,1,1,4,4
1670,4,65,0.16181818181818192,1,1,1,3
2245,-4,25,0.07272727272727247,1,1,5,6
907,4,84,0.4872727272727275,0,1,5,6
2210,14,22,0.08545454545454008,1,1,0,7
3065,7,88,0.43181818181818055,1,0,4,6
2902,-7,62,0.37454545454545496,1,1,3,3
459,-5,30,0.13818181818181652,0,0,6,6
3243,-3,75,0.5418181818181954,1,0,0,7
2054,-10,34,0.882727272727276,1,0,5,6
3110,4,41,0.31181818181818244,0,1,5,6
3364,0,45,0.2899999999999998,1,1,5,6
1278,1,44,0.2227272727272717,0,1,4,6
1687,-21,48,0.24636363636363967,1,0,5,6
2511,-4,78,0.25,1,0,5,4
941,-4,22,0.276363636363636,0,0,1,1
1039,-18,50,0.06090909090908719,0,0,4,4
951,0,13,0.30727272727272686,1,0,3,6
3596,0,78,0.7763636363636344,1,0,5,4
2619,-7,75,0.25818181818182107,1,0,4,4
1184,0,32,0.257272727272731,1,0,5,4
1340,7,49,0.3690909090909093,1,0,5,6
2620,11,16,0.4445454545454636,1,0,4,4
900,0,52,0.4936363636363694,1,0,4,6
1540,3,16,0.1481818181818281,0,1,4,4
1262,0,64,0.006363636363635744,1,1,0,7
2632,-10,48,0.07818181818181942,1,1,5,4
2658,3,56,0.690909090909093,0,0,4,4
2378,-21,27,0.25727272727272843,0,0,3,6
673,21,66,0.11636363636363388,1,0,1,3
2129,-10,64,0.19545454545454338,1,0,5,4
2132,-18,63,0.30272727272727645,0,1,4,3
2874,-7,75,1.3836363636363642,0,0,5,6
2610,-7,56,0.4954545454545496,1,0,2,4
1381,-2,65,0.7609090909090862,0,0,4,4
2370,-14,75,0.303636363636362,1,1,3,4
1020,3,80,0.6390909090909092,0,0,4,4
1642,-16,19,0.1281818181818185,0,0,4,6
192,-3,84,0.34636363636364176,0,1,4,6
2873,-14,23,0.19909090909090887,1,0,5,6
2375,-4,85,0.3254545454545453,1,0,4,4
647,4,72,0.48999999999998844,1,1,5,6
3245,0,57,0.10818181818182314,0,1,5,4
1235,-1,64,0.684545454545452,0,0,4,4
2356,-7,32,0.899090909090913,0,0,5,4
2961,-2,22,0.7727272727272727,0,0,5,6
2714,3,93,0.16545454545455,1,1,5,4
1580,-6,35,0.3481818181818193,1,1,4,6
1320,-11,85,0.5718181818181681,0,1,4,6
1336,-13,62,0.1827272727272719,0,0,5,6
1393,-13,52,5.167583532800729e-15,1,0,4,4
372,0,54,0.45636363636363986,1,0,4,6
1206,-13,62,0.10909090909091322,0,1,1,3
2304,3,44,0.48909090909091385,1,0,5,6
2193,0,69,0.9054545454545384,1,0,1,3
700,15,28,0.22818181818181735,1,0,4,6
1827,-13,76,0.23181818181818803,1,0,4,6
3044,4,75,0.31454545454545396,1,0,5,6
243,14,90,0.46818181818181803,0,0,4,4
2574,6,74,0.10545454545454257,0,0,1,1
148,-3,75,0.4945454545454595,1,1,4,6
3600,0,75,0.6809090909090917,1,0,4,4
3377,0,31,0.41363636363636985,1,1,1,3
1158,21,49,0.5781818181818246,1,1,4,6
2335,18,13,0.36181818181818154,0,0,4,4
2570,4,70,0.2772727272727231,1,1,0,7
754,-17,53,0.4300000000000068,1,1,4,4
443,-17,48,0.22090909090908636,0,0,4,6
2337,4,79,0.10454545454546281,1,1,4,4
1059,7,13,0.2345454545454557,0,0,5,4
2880,0,78,0.412727272727272,0,1,5,6
2253,-2,23,0.013636363636363507,1,1,3,6
3152,0,81,0.5745454545454549,1,1,5,4
2146,3,75,0.1072727272727434,1,0,4,6
1485,6,27,0.09272727272727237,0,0,5,4
2651,-7,50,0.31909090909090826,0,1,4,3
2274,-11,50,0.09818181818182707,1,0,0,7
3452,0,40,0.7572727272727259,1,1,0,7
3256,0,65,0.0027272727272728307,1,0,1,3
777,2,10,0.3500000000000124,1,1,5,4
2832,-7,41,0.007272727272730994,1,0,4,4
2221,-14,81,1.0872727272727511,1,0,5,4
811,-3,11,0.10636363636363781,0,1,4,4
1910,-6,75,0.5363636363636369,1,0,4,4
1730,2,11,0.24000000000000005,1,0,6,3
866,-1,64,0.430000000000012,0,0,5,4
1855,-11,65,0.04181818181817479,1,0,4,4
1800,-11,75,0.10636363636363523,0,0,5,6
1942,-7,28,0.6263636363636326,1,1,0,7
1354,-5,59,0.28909090909090973,1,1,4,4
1898,-13,72,0.2999999999999959,0,0,4,6
2770,0,35,0.3618181818181783,0,1,4,4
1567,4,49,0.3945454545454574,0,0,4,6
1863,-8,30,0.3818181818181782,0,0,4,4
3260,0,12,0.2000000000000006,1,0,5,4
3452,0,52,0.3854545454545411,1,0,5,6
1842,-11,24,0.28181818181819424,1,0,4,4
1943,0,44,0.05909090909090186,1,1,5,4
2610,-6,62,0.21818181818181612,0,1,5,4
1085,-25,73,0.48272727272728844,1,0,4,4
3534,0,64,1.223636363636367,1,1,0,8
3313,0,26,0.18090909090910207,1,0,5,6
2980,-3,71,1.1527272727272786,0,1,5,4
2190,11,75,0.05909090909091219,1,1,4,4
263,0,50,0.2463636363636345,1,0,3,6
494,-14,75,0.15454545454545868,0,1,1,3
3131,-7,13,0.2781818181818339,0,1,4,6
1623,-5,75,0.4009090909090919,1,1,1,3
2878,-1,36,0.356363636363643,1,1,4,4
2798,0,56,0.06181818181817727,0,0,5,6
2410,7,55,0.7209090909090915,1,1,4,6
1335,7,51,0.3745454545454601,0,1,5,6
901,-6,66,0.03181818181818388,0,1,5,6
2156,6,65,0.09000000000001117,0,0,5,6
3370,0,15,0.31454545454545446,0,1,3,1
1102,-4,22,0.037272727272714044,1,1,3,1
2543,13,65,0.17000000000001075,0,0,0,7
2938,3,75,0.4681818181818368,0,1,5,6
210,10,75,0.4490909090909037,0,0,5,6
528,10,23,0.17727272727271073,0,0,5,4
834,0,47,0.4490909090909089,1,1,5,4
681,22,24,0.06545454545454793,0,0,0,7
1794,10,77,0.2000000000000009,0,1,5,6
1064,0,75,0.3563636363636352,1,1,4,4
487,-14,99,0.4154545454545397,0,1,5,6
1838,10,62,0.8863636363636364,1,0,0,7
1809,-10,47,1.0181818181818223,0,1,4,6
245,-9,44,0.7754545454545482,0,0,4,6
3064,-4,75,0.17363636363636334,1,0,5,4
726,-12,75,0.11999999999999421,0,0,4,6
2700,-14,32,0.05454545454544628,1,0,4,6
591,3,75,0.19818181818181946,0,1,5,4
1831,-3,46,0.003636363636360329,1,0,4,4
2710,7,60,0.46090909090909027,0,0,5,4
120,-7,64,0.08181818181817975,0,1,4,6
1177,0,75,0.051818181818179904,0,1,5,4
1834,3,29,0.21999999999999886,0,1,4,6
900,-8,41,0.21909090909089587,0,1,5,4
930,-1,83,0.044545454545445035,0,1,3,3
3343,0,31,0.09727272727272665,0,1,3,3
3562,0,73,0.1472727272727277,0,0,4,4
2657,-9,58,0.23727272727272852,0,1,5,6
793,-13,34,0.5999999999999995,0,1,4,6
1983,0,80,0.9481818181818137,1,0,5,6
1675,-3,45,0.551818181818176,1,1,1,3
2812,-7,61,0.03818181818181963,1,0,4,6
3337,0,46,0.30999999999999195,1,1,5,4
3171,0,42,0.17545454545455125,1,0,3,6
1961,10,53,0.14454545454545745,1,1,1,3
2536,0,27,1.6963636363636438,0,1,3,6
1191,-7,58,0.03363636363636405,1,1,4,4
1366,0,71,0.4063636363636492,0,1,3,3
1735,0,72,0.45090909090907355,1,1,4,4
3130,-7,59,0.8118181818181877,1,0,5,4
1260,-3,60,0.5190909090909073,0,1,5,4
1800,-11,75,0.14272727272727212,0,0,5,6
1138,4,10,0.06454545454547853,0,0,4,4
460,-6,78,0.6127272727272632,0,1,4,6
2386,-6,46,0.16363636363636982,1,1,1,3
2256,3,75,0.12272727272727092,1,0,5,4
843,-5,13,0.06363636363636357,0,0,0,7
2763,3,50,0.10090909090908698,1,1,5,4
252,-5,15,0.12090909090909108,0,0,5,4
1883,7,47,0.20272727272726404,1,0,0,7
257,-13,51,0.13636363636364154,1,0,5,4
1194,-4,34,0.24272727272726902,1,0,4,6
3286,0,18,0.39000000000000123,0,1,0,7
3570,0,65,0.3409090909090857,0,0,4,4
3165,0,48,0.09272727272727624,0,0,5,6
3261,0,18,0.2600000000000006,0,1,3,3
2752,-7,56,0.44818181818181624,1,0,1,3
560,22,20,1.0218181818181813,1,1,4,4
1682,0,98,0.0018181818181801646,1,0,5,4
1968,4,63,0.20000000000001447,1,0,5,4
2035,5,61,0.5018181818181802,0,0,3,6
1821,10,75,0.3645454545454434,1,0,4,6
1449,-7,57,0.5018181818181854,0,1,5,6
1747,0,48,0.6709090909091008,1,1,3,4
1595,-4,36,0.8699999999999942,0,0,4,4
2116,3,66,0.037272727272726965,0,0,4,6
3507,0,80,0.18363636363636424,0,1,4,6
3477,0,70,0.5390909090909084,1,0,4,4
569,-9,75,0.4163636363636298,1,0,5,6
625,-9,38,0.15090909090908802,1,1,4,6
357,-2,62,0.7045454545454519,0,0,5,4
2328,10,60,0.3527272727272775,1,1,5,6
1062,11,78,0.4736363636363631,1,1,1,3
3528,0,72,0.3936363636363467,1,0,5,6
1498,3,58,0.02363636363636281,1,1,5,6
1691,11,49,0.9518181818181843,1,0,4,6
2620,4,31,0.01818181818181198,1,0,5,4
1913,3,20,0.032727272727273965,1,1,0,7
2023,7,66,0.24454545454545434,0,1,4,6
1090,-10,50,0.2845454545454593,1,0,5,4
2956,4,30,0.25636363636363574,1,1,4,6
1262,10,75,0.013636363636371905,0,1,4,4
3367,0,77,0.26000000000000123,0,1,5,6
2952,4,22,0.5900000000000021,0,0,5,4
542,11,21,0.38090909090909003,0,0,5,6
2913,-4,60,0.9736363636363617,1,1,3,3
551,12,35,0.3736363636363597,0,1,4,3
2761,7,46,0.4254545454545409,1,0,4,4
1707,3,72,0.3090909090909096,1,1,5,4
2685,7,67,0.23090909090908243,0,1,1,3
1612,-8,87,0.6363636363636367,0,0,5,4
1567,-7,90,0.5663636363636367,1,0,5,4
1655,14,67,0.004545454545460747,0,0,4,6
824,-13,14,0.05363636363636362,1,1,5,4
1011,-25,59,0.2654545454545469,0,0,4,4
2938,7,75,0.7263636363636475,1,0,4,6
2276,-4,20,0.17272727272727453,1,0,5,6
1105,-21,87,0.16181818181818966,1,1,5,4
1211,-15,49,0.16636363636362458,1,0,5,6
1962,-4,74,0.019090909090922734,1,1,4,4
1854,3,46,0.44181818181818305,1,1,0,7
2488,-6,38,0.489090909090919,1,0,3,4
852,-16,20,0.41727272727272696,1,1,4,6
3280,4,61,0.05909090909091219,0,0,5,4
421,1,54,0.4536363636363541,0,0,4,4
